image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;65;37;42;54;50;;
img_02;76;37;44;65;56;;
img_03;76;57;60;69;73;;
img_04;76;37;44;65;56;;
img_05;68;25;28;51;49;;
img_06;82;43;48;64;58;;
img_07;64;41;42;54;52;;
img_08;71;46;56;63;67;;
img_09;85;46;57;72;80;;
img_10;100;32;40;67;58;;
img_11;57;36;37;49;46;;
img_12;88;41;46;77;57;;
img_13;67;29;33;50;43;;
img_14;92;40;45;70;58;;
img_15;94;63;70;85;85;;
