image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;37;27;37;32;;;
img_02;87;53;70;58;;;
img_03;47;34;46;42;;;
img_04;76;62;77;74;;;
img_05;99;41;83;58;;;
img_06;65;34;56;43;;;
img_07;114;86;98;61;;;
img_08;44;39;43;36;;;
img_09;79;50;76;57;;;
img_10;109;86;98;61;;;
img_11;55;48;56;46;;;
img_12;82;47;71;58;;;
img_13;73;57;74;75;;;
img_14;84;38;71;50;;;
img_15;71;40;58;49;;;
