image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;80;44;48;74;62;;
img_02;79;41;42;74;60;;
img_03;84;34;38;74;50;;
img_04;79;41;42;74;60;;
img_05;66;45;47;67;58;;
img_06;62;29;33;56;43;;
img_07;93;63;70;93;85;;
img_08;89;51;55;87;66;;
img_09;57;36;37;55;46;;
img_10;76;57;60;77;73;;
img_11;55;34;36;54;45;;
img_12;81;59;65;80;76;;
img_13;40;34;35;41;40;;
img_14;80;43;48;73;58;;
img_15;68;35;39;60;48;;
