image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;113;41;;98;;;
img_02;53;32;;57;;;
img_03;84;35;;73;;;
img_04;57;36;;55;;;
img_05;49;32;;47;;;
img_06;88;51;;70;;;
img_07;81;45;;73;;;
img_08;106;47;;90;;;
img_09;55;35;;53;;;
img_10;76;59;;77;;;
img_11;65;46;;63;;;
img_12;81;60;;82;;;
img_13;90;44;;83;;;
img_14;72;51;;72;;;
img_15;55;35;;53;;;
